iindex,DateTime,CloseTime,Julian Open Time,Julian Closing Time,Latitude,Longitude,AltP_feet,AltP_meters,CH4 (ppmv),CH4 (ppbv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CS2 (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),EtCl (MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E/B),"1,3-Butadiene (B)",trans-2-Pentene,cis-2-Pentene,3-Methyl-1-butene,2-Methyl-1-Butene,2-Methyl-2-butene,"1,2-Propadiene",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),2-Methylheptane (B),3-Methylheptane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)","2,2,4-Trimethylpentane (B)","2,3,4-Trimethylpentane",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane,Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),LL,Year,Month,Day,Hour
808,2012-06-26 17:19:00,17:19:51,41086.72188,41086.72212,33.645713,-118.648568,622.0,189.5856,1.873,187.3,90.0,398.0,606.0,18.0,,541.0,238.0,78.5,17.19,3.989,3.44,,82.1,259.0,24.16,27.9,17.1,5.73,87.4,59.1,0.42,3.25,526.0,8.87,0.659,0.87,0.291,0.17,1.968,,10.9,3.425,2.148,2.306,0.77,2.555,1.005,1.943,1.679,1144.0,71.0,104.0,303.0,6.0,52.0,78.0,,,,,57.0,32.0,,,,,,,,,,10.0,4.0,,,,4.0,,9.0,13.0,,,,,,,12.0,,,9.0,,,16.0,13.0,,3.0,,,,,,,,,,,,,"(33.645713, -118.648568)",2012,6,26,17
809,2012-06-26 17:20:00,17:20:21,41086.72222,41086.72247,33.62167,-118.65333,552.0,168.2496,1.883,188.3,96.0,394.0,605.0,19.0,,548.0,244.0,75.9,17.25,4.18,3.4,,88.1,269.0,23.7,27.3,20.01,5.77,88.5,76.5,0.41,4.77,529.0,9.54,0.779,1.216,0.513,0.313,3.002,,14.07,4.967,3.124,4.49,1.374,5.751,1.949,4.073,3.852,1578.0,196.0,202.0,622.0,18.0,157.0,210.0,,4.0,,,155.0,85.0,,,,,,,,,,22.0,9.0,5.0,,,6.0,6.0,21.0,26.0,,,,,,7.0,18.0,,8.0,20.0,,6.0,28.0,33.0,6.0,11.0,5.0,,,,,,,,3.0,3.0,,,"(33.62167, -118.65333)",2012,6,26,17
810,2012-06-26 17:21:00,17:21:37,41086.72292,41086.72334,33.56333,-118.66833,481.0,146.6088,1.909,190.9,118.0,394.0,594.0,40.0,,543.0,242.0,76.5,16.86,4.375,3.44,,84.5,258.0,24.09,27.84,32.54,5.65,87.8,70.5,1.72,6.47,514.0,9.97,1.069,1.508,0.78,0.386,3.904,,13.12,5.486,3.675,6.4,2.3,8.908,2.985,6.132,6.023,2458.0,321.0,298.0,1045.0,26.0,238.0,332.0,,6.0,,,247.0,134.0,,,,,,,,,,37.0,16.0,8.0,6.0,4.0,10.0,9.0,35.0,41.0,21.0,19.0,,,17.0,12.0,28.0,,8.0,30.0,,10.0,37.0,51.0,8.0,14.0,6.0,,,,,,,,3.0,,,,"(33.56333, -118.66833)",2012,6,26,17
811,2012-06-26 17:22:00,17:22:36,41086.72361,41086.72403,33.51167,-118.68167,503.0,153.3144,1.892,189.2,98.0,405.0,611.0,31.0,,542.0,240.0,76.7,17.2,4.223,3.42,,73.0,245.0,24.43,27.41,21.23,6.12,89.1,71.9,1.09,5.25,528.0,9.19,0.837,1.338,0.606,0.278,3.13,,13.46,5.183,3.287,4.805,1.575,5.951,2.127,4.46,4.118,1817.0,216.0,213.0,689.0,20.0,153.0,212.0,,5.0,,,158.0,85.0,,,,,,,,,,24.0,10.0,6.0,4.0,4.0,8.0,8.0,25.0,26.0,15.0,15.0,,,11.0,7.0,22.0,,5.0,21.0,,8.0,31.0,37.0,7.0,12.0,5.0,,,,3.0,,,,5.0,,,,"(33.51167, -118.68167)",2012,6,26,17
812,2012-06-26 17:23:00,17:22:34,41086.72431,41086.724,33.46833,-118.72667,1100.0,335.28,1.859,185.9,95.0,395.0,597.0,,,544.0,239.0,75.2,17.1,4.065,3.49,,76.3,255.0,23.66,27.54,17.34,5.63,87.9,72.4,0.16,3.1,535.0,8.78,0.305,0.864,0.273,0.133,1.586,,14.62,4.209,2.391,2.986,0.615,3.362,1.129,2.188,1.755,1077.0,33.0,79.0,298.0,5.0,45.0,78.0,,4.0,,,47.0,30.0,,,,,,,,,,9.0,3.0,,,,,,7.0,14.0,7.0,8.0,,,,,8.0,,,9.0,,,13.0,8.0,,3.0,,,,,,,,,4.0,4.0,,,"(33.46833, -118.72667)",2012,6,26,17
813,2012-06-26 17:24:00,17:24:38,41086.725,41086.72544,33.515,-118.77333,1550.0,472.44,1.876,187.6,108.0,398.0,589.0,,,541.0,236.0,75.9,16.92,4.19,3.35,,78.3,263.0,24.46,28.19,25.2,5.23,87.2,74.1,0.77,4.2,517.0,8.9,0.334,0.819,0.511,0.219,1.519,,12.78,3.861,2.475,3.969,0.798,4.769,1.678,3.214,3.212,1258.0,71.0,133.0,398.0,6.0,61.0,99.0,,4.0,,,88.0,43.0,,,,,,,,,,13.0,6.0,,,,6.0,4.0,14.0,21.0,7.0,13.0,,,4.0,8.0,14.0,,3.0,14.0,,,21.0,20.0,4.0,4.0,,,,,,,,,,,,,"(33.515, -118.77333)",2012,6,26,17
814,2012-06-26 17:25:00,17:26:11,41086.72604,41086.72652,33.59333,-118.80167,1229.0,374.5992,1.89,189.0,106.0,397.0,603.0,,,540.0,243.0,78.2,17.01,4.172,3.48,,96.5,299.0,25.34,30.55,21.0,6.05,88.3,76.7,1.04,4.93,530.0,10.17,0.608,1.161,0.577,0.278,2.88,,13.8,5.256,3.331,5.635,1.275,7.449,2.587,5.248,4.917,1477.0,201.0,241.0,656.0,19.0,144.0,209.0,,5.0,,,150.0,85.0,,,,,,,,,,25.0,12.0,5.0,5.0,3.0,10.0,7.0,24.0,27.0,14.0,18.0,,,10.0,9.0,21.0,,6.0,21.0,,7.0,35.0,35.0,7.0,10.0,5.0,,,,,,,,4.0,,,,"(33.59333, -118.80167)",2012,6,26,17
815,2012-06-26 17:26:00,17:27:08,41086.72674,41086.72718,33.64833,-118.83,722.0,220.0656,1.911,191.1,121.0,400.0,629.0,26.0,,546.0,242.0,76.9,17.23,4.394,3.44,,105.5,304.0,24.44,30.15,23.7,6.07,89.4,88.0,1.68,7.75,561.0,10.02,0.904,1.343,0.896,0.459,3.739,,15.41,5.328,3.446,6.707,1.974,9.386,3.194,6.751,6.652,2552.0,342.0,338.0,1176.0,32.0,240.0,360.0,,7.0,,,270.0,136.0,,,,,,,,,,39.0,17.0,9.0,6.0,5.0,11.0,13.0,42.0,38.0,22.0,23.0,,,17.0,14.0,66.0,,10.0,34.0,,15.0,47.0,64.0,13.0,23.0,10.0,,,6.0,9.0,7.0,7.0,6.0,13.0,15.0,,,"(33.64833, -118.83)",2012,6,26,17
816,2012-06-26 17:28:00,17:28:38,41086.72778,41086.72822,33.72833,-118.86333,551.0,167.9448,1.939,193.9,128.0,395.0,609.0,30.0,,546.0,242.0,77.1,17.3,4.364,3.63,,111.1,325.0,25.43,35.78,29.01,5.85,88.8,93.6,2.29,9.4,523.0,9.64,0.857,1.191,1.188,0.519,3.274,,13.59,4.935,3.302,6.89,1.855,8.92,2.982,6.24,6.594,3578.0,388.0,401.0,1658.0,39.0,271.0,429.0,,9.0,,,331.0,165.0,,,,,,,,,,48.0,16.0,12.0,7.0,5.0,14.0,15.0,51.0,51.0,25.0,31.0,,,24.0,17.0,48.0,,13.0,46.0,,19.0,48.0,98.0,14.0,27.0,12.0,,,3.0,6.0,4.0,4.0,,6.0,4.0,,,"(33.72833, -118.86333)",2012,6,26,17
817,2012-06-26 17:29:00,17:29:43,41086.72847,41086.72897,33.79,-118.89,517.0,157.5816,1.941,194.1,125.0,409.0,609.0,26.0,,541.0,241.0,76.0,17.11,4.435,3.7,,93.0,285.0,25.95,32.08,26.8,6.49,89.1,100.0,2.6,11.24,532.0,9.64,0.802,1.176,1.343,0.606,3.361,,15.07,5.099,4.061,8.105,2.356,10.315,3.353,7.283,7.582,3950.0,479.0,471.0,1967.0,60.0,322.0,520.0,,9.0,,,432.0,205.0,,,,,,,,,,60.0,25.0,12.0,11.0,9.0,22.0,21.0,69.0,60.0,33.0,35.0,,,33.0,21.0,59.0,,17.0,60.0,,26.0,59.0,140.0,20.0,41.0,16.0,,,6.0,10.0,7.0,6.0,3.0,14.0,7.0,,,"(33.79, -118.89)",2012,6,26,17
818,2012-06-26 17:30:00,17:30:56,41086.72934,41086.72981,33.85333,-118.92,1491.0,454.4568,1.92,192.0,118.0,398.0,663.0,3.0,,543.0,243.0,77.6,17.35,4.297,3.42,,68.7,233.0,23.29,25.19,21.44,5.94,89.2,93.4,1.07,6.0,599.0,11.01,0.297,0.867,0.831,0.332,1.448,,15.04,4.095,3.216,6.437,1.286,8.408,2.951,5.593,5.839,1482.0,91.0,172.0,608.0,7.0,111.0,171.0,,3.0,,,149.0,62.0,,,,,,,,,,18.0,4.0,5.0,7.0,6.0,9.0,8.0,22.0,26.0,11.0,15.0,,,9.0,8.0,24.0,,5.0,18.0,,5.0,31.0,37.0,15.0,30.0,14.0,,,25.0,28.0,30.0,34.0,49.0,76.0,131.0,14.0,14.0,"(33.85333, -118.92)",2012,6,26,17
819,2012-06-26 17:33:00,17:33:45,41086.73125,41086.73177,34.01167,-118.955,5600.0,1706.88,1.845,184.5,93.0,395.0,582.0,,,539.0,236.0,76.0,16.97,4.017,3.44,,69.9,233.0,25.54,27.94,16.91,5.59,85.2,65.7,0.29,2.42,537.0,8.05,,0.702,0.142,,0.487,,12.97,1.459,1.1,1.031,0.2,0.684,0.207,0.365,0.222,802.0,8.0,75.0,52.0,9.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,4.0,,,9.0,,,,,,,,,,,,,,,,"(34.01167, -118.955)",2012,6,26,17
820,2012-06-26 17:37:00,17:37:46,41086.73403,41086.73456,34.13333,-118.66667,5555.0,1693.164,1.836,183.6,85.0,398.0,558.0,,,549.0,242.0,75.2,17.7,3.892,3.35,,65.0,229.0,22.56,24.4,14.99,5.23,88.4,63.8,0.17,2.56,635.0,10.1,,0.765,0.145,,0.728,,13.79,4.2,2.985,1.978,1.217,1.349,0.531,1.56,0.203,674.0,6.0,66.0,42.0,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,15.0,,3.0,8.0,4.0,,,10.0,12.0,13.0,15.0,34.0,42.0,84.0,,,"(34.13333, -118.66667)",2012,6,26,17
821,2012-06-26 17:42:00,17:42:42,41086.7375,41086.73799,34.16667,-118.3,5555.0,1693.164,1.813,181.3,84.0,399.0,599.0,,,541.0,238.0,74.6,16.85,4.034,3.27,,66.7,230.0,22.73,24.27,12.38,5.43,86.8,50.7,0.13,1.33,545.0,7.77,,0.594,0.102,,0.508,,10.07,2.828,0.959,0.713,,0.563,0.158,0.422,,441.0,7.0,40.0,17.0,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,3.0,,,6.0,4.0,3.0,,,,,,,4.0,,,15.0,15.0,,,,,,,,,,,,,,,,"(34.16667, -118.3)",2012,6,26,17
822,2012-06-26 17:45:00,17:45:41,41086.73958,41086.74006,34.13333,-118.06667,5555.0,1693.164,1.814,181.4,89.0,400.0,600.0,,,545.0,241.0,77.9,16.98,4.139,3.45,,62.7,219.0,23.06,24.28,14.3,5.47,88.5,59.6,0.16,1.68,553.0,8.34,,0.622,0.118,,0.331,,11.49,2.581,1.209,0.798,0.109,0.396,0.125,0.126,,497.0,12.0,49.0,20.0,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,,,,,,,,,4.0,,14.0,6.0,,,,,,,,,,,,,,,,"(34.13333, -118.06667)",2012,6,26,17
823,2012-06-26 17:46:00,17:46:44,41086.74028,41086.74079,34.11667,-117.95,5565.0,1696.212,1.811,181.1,85.0,395.0,510.0,,,538.0,241.0,76.5,17.32,3.866,3.26,,66.1,234.0,22.72,24.45,12.95,5.06,86.0,51.4,0.16,1.61,550.0,9.03,,0.688,0.129,,0.303,,8.92,4.189,2.013,0.811,0.651,0.541,0.619,0.521,0.105,430.0,6.0,34.0,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,7.0,,,,,,,,,,,,5.0,10.0,,,"(34.11667, -117.95)",2012,6,26,17
824,2012-06-26 17:47:00,17:47:51,41086.74102,41086.74156,34.08333,-117.9,5657.0,1724.2536,1.813,181.3,84.0,396.0,604.0,,,541.0,237.0,77.7,16.56,4.053,3.2,,65.2,225.0,22.14,27.02,14.1,5.43,87.9,55.0,0.46,1.61,553.0,8.12,,0.621,0.127,,0.346,,11.13,3.142,1.056,0.631,0.118,0.375,0.143,0.246,0.141,462.0,7.0,41.0,25.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,3.0,,17.0,6.0,,,,,,,,,,,,,6.0,,,"(34.08333, -117.9)",2012,6,26,17
825,2012-06-26 17:48:00,17:48:50,41086.74168,41086.74225,34.05,-117.83333,5473.0,1668.1704,1.815,181.5,70.0,395.0,607.0,,,543.0,240.0,76.7,16.55,4.202,3.14,,64.4,219.0,21.53,25.01,14.47,5.31,88.5,63.9,0.17,1.65,543.0,9.07,,0.689,0.133,,0.413,,12.85,3.165,1.113,0.794,0.149,0.333,0.119,0.187,0.103,454.0,11.0,42.0,18.0,5.0,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,5.0,,11.0,10.0,,,,,,,,,,,4.0,6.0,8.0,,,"(34.05, -117.83333)",2012,6,26,17
826,2012-06-26 17:49:00,17:50:20,41086.74271,41086.74329,34.0,-117.75,5565.0,1696.212,1.804,180.4,74.0,395.0,587.0,,,545.0,238.0,77.1,16.65,3.89,3.48,,67.0,234.0,22.65,23.71,12.24,5.25,86.3,50.5,0.14,1.24,538.0,7.73,,0.54,0.104,,0.223,,8.39,2.423,0.643,0.333,,0.201,,,0.117,387.0,6.0,30.0,15.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,"(34.0, -117.75)",2012,6,26,17
827,2012-06-26 17:51:00,17:51:52,41086.74375,41086.74435,33.93333,-117.65,5010.0,1527.048,1.806,180.6,74.0,395.0,620.0,7.0,,541.0,234.0,76.2,16.8,3.948,3.16,,67.2,241.0,23.33,28.48,12.21,5.33,87.1,49.9,0.16,1.29,570.0,7.71,,0.539,0.104,,0.272,,10.72,2.472,0.696,0.416,,0.376,0.219,0.472,0.401,368.0,6.0,25.0,17.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,3.0,,,,,,,,,,11.0,5.0,,,,,,,,,,,,6.0,10.0,,,"(33.93333, -117.65)",2012,6,26,17
828,2012-06-26 17:53:00,17:53:29,41086.74514,41086.74547,33.96667,-117.51667,4029.0,1228.0392,1.843,184.3,93.0,395.0,579.0,,,544.0,238.0,76.1,16.2,4.025,3.09,,79.5,249.0,23.52,34.22,19.16,5.24,87.8,74.7,0.15,2.72,545.0,9.3,,0.812,0.166,,0.431,,19.78,3.686,1.657,1.016,0.191,0.342,,,0.112,782.0,5.0,57.0,32.0,6.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,10.0,9.0,,,,,,,,,,,,,,,,"(33.96667, -117.51667)",2012,6,26,17
829,2012-06-26 17:53:00,17:53:55,41086.74554,41086.74578,33.95,-117.49561,3220.0,981.456,1.878,187.8,111.0,395.0,583.0,,,540.0,248.0,77.6,17.6,4.941,3.39,,90.6,285.0,24.38,30.56,23.83,6.03,91.2,98.7,0.44,3.47,564.0,16.16,0.136,0.941,1.102,0.507,0.876,,20.62,3.044,2.018,1.976,0.622,0.832,0.221,0.448,0.464,875.0,76.0,103.0,89.0,29.0,15.0,28.0,,10.0,,,45.0,22.0,,10.0,,,,,,,,5.0,,,,,6.0,4.0,10.0,15.0,29.0,13.0,,,6.0,8.0,,,7.0,,,,11.0,19.0,8.0,27.0,10.0,,,3.0,10.0,5.0,5.0,12.0,25.0,14.0,6.0,,"(33.95, -117.49561)",2012,6,26,17
830,2012-06-26 17:54:00,17:54:18,41086.74584,41086.74604,33.95,-117.480111,2448.0,746.1504,1.879,187.9,126.0,397.0,608.0,3.0,,538.0,240.0,78.3,17.14,4.331,3.29,,129.9,326.0,24.15,31.99,26.44,6.07,90.3,100.5,1.53,6.49,584.0,9.1,0.129,0.888,0.699,0.277,0.852,,19.95,4.778,3.129,4.363,0.873,3.982,1.546,2.704,3.456,1152.0,126.0,185.0,437.0,16.0,70.0,105.0,,3.0,,,176.0,82.0,,32.0,,,,,,,,20.0,8.0,4.0,6.0,12.0,9.0,10.0,30.0,31.0,25.0,31.0,,,17.0,10.0,31.0,,6.0,23.0,,,27.0,54.0,13.0,30.0,13.0,,,9.0,13.0,11.0,13.0,20.0,35.0,64.0,8.0,5.0,"(33.95, -117.480111)",2012,6,26,17
831,2012-06-26 17:54:00,17:54:51,41086.74618,41086.74642,33.95,-117.43333,1992.0,607.1616,1.927,192.7,158.0,405.0,589.0,3.0,,546.0,242.0,79.1,16.47,4.726,3.5,,112.9,328.0,25.95,32.26,37.42,6.62,91.7,115.8,3.23,14.44,535.0,9.95,0.32,0.893,1.626,0.562,1.485,,16.86,5.701,4.058,8.017,1.332,8.465,3.337,5.819,8.324,1792.0,365.0,442.0,1213.0,43.0,183.0,296.0,,8.0,,,511.0,210.0,,78.0,,,,,,,,57.0,26.0,10.0,7.0,6.0,22.0,25.0,78.0,75.0,41.0,40.0,,,49.0,29.0,94.0,,14.0,56.0,,30.0,68.0,137.0,20.0,42.0,17.0,,,3.0,6.0,5.0,4.0,6.0,11.0,4.0,7.0,,"(33.95, -117.43333)",2012,6,26,17
832,2012-06-26 17:55:00,17:55:18,41086.74653,41086.74674,33.945968,-117.41667,2301.0,701.3448,1.914,191.4,160.0,397.0,519.0,2.0,,542.0,246.0,76.9,19.46,4.163,3.4,,125.6,307.0,25.31,35.17,28.62,6.69,90.4,116.5,4.49,15.69,566.0,11.45,0.214,0.968,1.353,0.8,2.622,,13.46,5.351,7.768,10.668,2.259,16.108,41.382,68.177,4.766,1550.0,341.0,407.0,1015.0,46.0,152.0,242.0,,9.0,,,467.0,168.0,,45.0,,,,,,,,54.0,19.0,12.0,8.0,12.0,33.0,28.0,74.0,52.0,46.0,53.0,,,48.0,28.0,104.0,,48.0,55.0,,24.0,78.0,138.0,13.0,31.0,16.0,,,,,,,,,,15.0,19.0,"(33.945968, -117.41667)",2012,6,26,17
833,2012-06-26 17:55:00,17:55:48,41086.74688,41086.74708,33.91667,-117.391071,2456.0,748.5888,1.913,191.3,172.0,401.0,513.0,1.0,,551.0,248.0,77.4,19.24,5.113,3.37,,79.4,266.0,23.36,29.95,34.1,6.89,93.2,128.9,3.28,14.17,575.0,11.43,0.247,1.245,1.551,0.784,2.458,,16.95,8.51,7.962,12.401,2.344,17.281,41.454,64.134,5.027,1608.0,349.0,417.0,1041.0,49.0,158.0,259.0,,8.0,,,513.0,181.0,,59.0,,,,,,,,62.0,21.0,10.0,11.0,25.0,28.0,29.0,83.0,63.0,78.0,47.0,,,54.0,34.0,96.0,,16.0,63.0,,21.0,77.0,162.0,27.0,72.0,29.0,,,12.0,29.0,18.0,14.0,17.0,57.0,31.0,21.0,53.0,"(33.91667, -117.391071)",2012,6,26,17
834,2012-06-26 17:56:00,17:57:11,41086.74757,41086.74804,33.86667,-117.41667,2850.0,868.68,1.873,187.3,106.0,402.0,563.0,,,543.0,241.0,74.5,16.42,4.151,3.12,,68.8,246.0,25.76,28.55,24.04,5.74,89.3,86.6,1.29,4.83,534.0,9.04,,0.886,0.841,0.413,1.006,,18.09,4.418,2.496,3.958,0.759,3.94,1.483,2.607,3.616,1042.0,92.0,160.0,325.0,12.0,51.0,72.0,,4.0,,,128.0,54.0,,8.0,,,,,,,,17.0,7.0,,,,8.0,7.0,19.0,20.0,,,,,,8.0,24.0,,5.0,17.0,,,24.0,39.0,8.0,15.0,6.0,,,,4.0,,,,5.0,4.0,3.0,,"(33.86667, -117.41667)",2012,6,26,17
835,2012-06-26 17:58:00,17:58:41,41086.74861,41086.74909,33.9,-117.53333,3666.0,1117.3968,1.853,185.3,90.0,396.0,515.0,,,545.0,240.0,78.6,18.99,4.136,3.24,,64.8,235.0,23.95,25.34,20.02,6.21,90.5,80.3,0.45,3.11,582.0,9.72,,0.951,0.318,0.145,0.654,,16.24,5.901,3.916,2.548,1.073,2.307,0.812,4.236,1.059,797.0,17.0,66.0,71.0,,13.0,12.0,,3.0,,,15.0,7.0,,12.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,7.0,,,12.0,9.0,,4.0,,,,,,,,,5.0,,,,"(33.9, -117.53333)",2012,6,26,17
836,2012-06-26 18:23:00,18:23:51,41086.76597,41086.76656,34.73333,-118.33333,8853.0,2698.3944,1.845,184.5,105.0,396.0,553.0,,,541.0,244.0,77.0,18.75,3.881,3.24,,66.3,228.0,24.47,26.3,18.68,5.68,87.0,68.4,0.15,2.06,591.0,9.77,,0.796,0.183,,0.176,,15.31,4.959,3.764,1.871,1.516,0.63,0.446,0.334,,901.0,7.0,126.0,78.0,6.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,15.0,,,,,,,,,,,,,,,,"(34.73333, -118.33333)",2012,6,26,18
837,2012-06-26 18:26:00,18:26:48,41086.76806,41086.76861,34.83333,-118.4,6911.0,2106.4728,1.84,184.0,101.0,395.0,504.0,2.0,,542.0,241.0,77.9,18.49,4.131,3.15,,67.7,242.0,23.87,27.68,17.5,5.99,89.8,70.9,0.25,2.45,573.0,9.89,,0.927,0.23,0.112,0.604,,14.26,5.868,3.651,2.901,1.653,2.511,0.761,3.321,0.554,726.0,7.0,68.0,76.0,5.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.0,,,,,,,,4.0,5.0,,,10.0,,,,,,,,,,,,,,,,"(34.83333, -118.4)",2012,6,26,18
838,2012-06-26 21:20:00,21:20:53,41086.88889,41086.8895,34.535,-117.25,10063.0,3067.2024,1.813,181.3,67.0,398.0,634.0,2.0,,534.0,238.0,76.6,16.9,4.282,3.26,,66.1,231.0,23.21,27.2,11.61,5.13,87.6,59.7,0.3,2.87,601.0,8.58,,0.539,0.352,0.258,0.286,,9.39,1.467,1.022,0.79,0.206,0.68,0.341,0.437,0.133,453.0,16.0,47.0,25.0,13.0,3.0,4.0,,4.0,,,8.0,4.0,,,,,,,,,,9.0,8.0,3.0,5.0,8.0,,,,17.0,24.0,8.0,,,7.0,,21.0,,,5.0,,,15.0,15.0,9.0,25.0,11.0,,,19.0,23.0,24.0,40.0,68.0,71.0,44.0,14.0,15.0,"(34.535, -117.25)",2012,6,26,21
839,2012-06-26 21:25:00,21:25:51,41086.89237,41086.89295,34.20667,-117.325,8016.0,2443.2768,1.805,180.5,66.0,399.0,598.0,,,539.0,237.0,73.0,16.95,4.198,3.18,,101.1,296.0,24.66,32.61,11.56,4.879,87.3,54.4,,1.58,548.0,7.76,,0.552,0.106,,0.347,,9.63,1.888,0.676,0.554,,0.287,0.2,0.384,0.265,421.0,8.0,37.0,18.0,7.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,4.0,,,9.0,,,,,,,,,,,,3.0,3.0,,,"(34.20667, -117.325)",2012,6,26,21
840,2012-06-26 21:29:00,21:29:48,41086.89515,41086.89569,34.055,-117.47833,4018.0,1224.6864,1.879,187.9,105.0,403.0,648.0,5.0,,541.0,244.0,75.7,17.25,4.645,3.28,,135.0,355.0,24.75,35.61,20.58,6.4,88.9,100.0,2.36,10.91,582.0,9.48,0.16,0.756,0.932,0.51,1.193,,14.18,2.872,2.372,6.231,1.19,8.986,3.761,7.922,7.51,1216.0,157.0,226.0,873.0,20.0,260.0,279.0,,6.0,3.0,,288.0,141.0,,13.0,,,,,,,,34.0,11.0,7.0,5.0,8.0,16.0,13.0,39.0,37.0,98.0,22.0,,,,14.0,37.0,,12.0,39.0,,9.0,39.0,63.0,14.0,26.0,13.0,,,16.0,19.0,22.0,22.0,34.0,51.0,92.0,13.0,10.0,"(34.055, -117.47833)",2012,6,26,21
841,2012-06-26 21:30:00,21:31:04,41086.89603,41086.89657,34.04167,-117.40667,3562.0,1085.6976,1.995,199.5,164.0,406.0,608.0,9.0,,536.0,242.0,77.9,16.78,5.02,3.33,,133.7,349.0,24.78,36.64,29.4,7.09,86.9,128.3,5.21,21.79,555.0,9.57,0.31,0.716,1.59,0.675,1.087,,15.47,3.676,3.083,9.775,1.743,12.561,4.763,9.488,11.031,2261.0,377.0,525.0,1975.0,43.0,341.0,557.0,,9.0,,,657.0,293.0,,53.0,,,,,,,,76.0,27.0,12.0,8.0,8.0,34.0,29.0,94.0,87.0,41.0,48.0,,,,26.0,82.0,,25.0,72.0,,25.0,75.0,145.0,21.0,35.0,15.0,,,4.0,5.0,6.0,6.0,14.0,12.0,9.0,21.0,3.0,"(34.04167, -117.40667)",2012,6,26,21
842,2012-06-26 21:31:00,21:32:06,41086.89688,41086.89729,34.06167,-117.34333,2679.0,816.5592,1.946,194.6,161.0,405.0,600.0,6.0,,550.0,248.0,76.1,17.4,5.11,3.43,,162.3,375.0,26.27,45.6,28.7,6.91,90.7,124.0,4.5,17.59,544.0,9.82,0.249,0.735,1.415,0.81,1.512,,19.58,3.307,3.195,9.774,1.812,13.017,5.663,11.839,11.806,1866.0,350.0,445.0,1737.0,53.0,278.0,487.0,,16.0,,,763.0,322.0,,46.0,,,,,,,,72.0,24.0,12.0,10.0,9.0,37.0,28.0,96.0,79.0,50.0,45.0,,,42.0,35.0,79.0,,23.0,77.0,,25.0,77.0,164.0,25.0,52.0,21.0,,,7.0,12.0,9.0,7.0,6.0,21.0,10.0,4.0,,"(34.06167, -117.34333)",2012,6,26,21
